subject_name,course_code,course_title,option_number,component,class_nbr,section,meeting_start_date,meeting_end_date,day,start_time,end_time,room,instructor,seats_open,seats_cap
3D Digital Design,DDDD 101,Introduction to 3D Modeling,1,Laboratory,56188,01L,2026-01-12,2026-04-27,Tuesday | Thursday,14:00 | 14:00,16:50 | 15:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1440,Aaron Powell,16,16
3D Digital Design,DDDD 102,Introduction to 3D Visual Design,1,Laboratory,56189,01L1,2026-01-12,2026-04-27,Wednesday | Monday,08:00 | 08:00,10:50 | 09:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1440,"Aaron Powell | Philip Szrama | Philip Szrama,",18,18
3D Digital Design,DDDD 102,Introduction to 3D Visual Design,2,Laboratory,56190,01L2,2026-01-12,2026-04-27,Friday | Monday,08:00 | 08:00,10:50 | 09:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1440,"Aaron Powell | Philip Szrama | Philip Szrama,",18,18
3D Digital Design,DDDD 102,Introduction to 3D Visual Design,3,Laboratory,56191,01L3,2026-01-12,2026-04-27,Friday | Monday,08:00 | 08:00,10:50 | 09:50,Frank E. Gannett (GAN)-1226 | James E Booth (BOO)-1440,"Aaron Powell | Philip Szrama,",18,18
3D Digital Design,DDDD 103,Introduction to 3D Imaging,1,Laboratory,56192,01L1,2026-01-12,2026-04-27,Wednesday | Monday,11:00 | 11:00,13:50 | 12:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1440,"Aaron Powell | Ihab Mardini | Ihab Mardini,",18,18
3D Digital Design,DDDD 103,Introduction to 3D Imaging,2,Laboratory,56193,01L2,2026-01-12,2026-04-27,Friday | Monday,11:00 | 11:00,13:50 | 12:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1440,"Aaron Powell | Ihab Mardini | Ihab Mardini,",18,18
3D Digital Design,DDDD 103,Introduction to 3D Imaging,3,Laboratory,56194,01L3,2026-01-12,2026-04-27,Friday | Monday,11:00 | 11:00,13:50 | 12:50,Frank E. Gannett (GAN)-1226 | James E Booth (BOO)-1440,"Aaron Powell | Ihab Mardini,",18,18
3D Digital Design,DDDD 104,Introduction to 3D Design Pathways,1,Lecture,56196,01,2026-01-12,2026-04-27,Wednesday,14:00,14:50,James E Booth (BOO)-1440,Ihab Mardini,40,40
3D Digital Design,DDDD 207,Materials and Surfaces,1,Laboratory,53686,01L2,2026-01-12,2026-04-27,Friday | Monday,14:00 | 14:00,16:50 | 15:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1440,Gary Jacobs,23,23
3D Digital Design,DDDD 207,Materials and Surfaces,2,Laboratory,53829,01L1,2026-01-12,2026-04-27,Wednesday | Monday,14:00 | 14:00,16:50 | 15:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1440,Gary Jacobs,23,23
3D Digital Design,DDDD 208,Anatomical Frameworks for 2D 3D Applications,1,Laboratory,53311,01,2026-01-12,2026-04-27,Monday Wednesday,08:00,10:50,James E Booth (BOO)-4610,Jooyoung Byun,18,18
3D Digital Design,DDDD 208,Anatomical Frameworks for 2D 3D Applications,2,Laboratory,53312,02,2026-01-12,2026-04-27,Tuesday Thursday,08:00,10:50,Frank E. Gannett (GAN)-1226,David Halbstein,22,22
3D Digital Design,DDDD 209,Project Pipelines,1,Laboratory,53830,01L1,2026-01-12,2026-04-27,Tuesday | Monday,17:00 | 17:00,19:50 | 18:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1440,Aaron Powell,23,23
3D Digital Design,DDDD 209,Project Pipelines,2,Laboratory,53832,01L2,2026-01-12,2026-04-27,Thursday | Monday,17:00 | 17:00,19:50 | 18:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1440,Aaron Powell,23,23
3D Digital Design,DDDD 301,Professional Practice,1,Lecture,56228,01,2026-01-12,2026-04-27,Tuesday,17:00,19:50,James E Booth (BOO)-1560,Nina Park,30,30
3D Digital Design,DDDD 301,Professional Practice,2,Lecture,56229,02,2026-01-12,2026-04-27,Thursday,17:00,19:50,James E Booth (BOO)-1560,Nina Park,30,30
3D Digital Design,DDDD 303,Collaboration Project,1,Lecture,53754,01,2026-01-12,2026-04-27,Monday,17:00,19:50,Online,Jennifer Indovina,46,46
3D Digital Design,DDDD 308,Contemporary Practices Design Technologies,1,Lecture,56199,01,2026-01-12,2026-04-27,Wednesday,16:00,16:50,James E Booth (BOO)-1440,Ihab Mardini,46,46
3D Digital Design,DDDD 399,3D Digital Design Part Time Co op,1,UNKNOWN,,,2026-01-12,2026-04-27,To be announced,TBA,,Off-Campus Location,"Gary Jacobs, | Gretchen Eshleman",20,20
